area,price/sqm,condition,status,district,type
116.0,18.017241379310345,newly renovated,new building,Chugureti,commercial
200.0,7.5,renovated,new building,Chugureti,commercial
110.0,12.727272727272727,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,office
150.0,16.666666666666668,newly renovated,new building,Chugureti,office
165.0,7.2727272727272725,renovated,old building,Chugureti,commercial
100.0,12.0,newly renovated,new building,Chugureti,commercial
170.0,28.823529411764707,old renovated,old building,Chugureti,commercial
450.0,8.244444444444444,newly renovated,old building,Chugureti,commercial
200.0,20.0,renovated,old building,Chugureti,office
220.0,7.2727272727272725,under renovation,new building,Chugureti,office
190.0,10.526315789473685,renovated,new building,Chugureti,commercial
480.0,9.375,old renovated,old building,Chugureti,commercial
230.0,13.0,renovated,new building,Chugureti,commercial
245.0,13.061224489795919,newly renovated,new building,Chugureti,commercial
230.0,13.043478260869565,newly renovated,old building,Chugureti,commercial
720.0,1.6666666666666667,newly renovated,new building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
700.0,6.428571428571429,newly renovated,old building,Chugureti,commercial
140.0,12.142857142857142,old renovated,old building,Chugureti,commercial
110.0,13.636363636363637,renovated,old building,Chugureti,commercial
700.0,12.857142857142858,renovated,old building,Chugureti,warehouse
700.0,12.857142857142858,renovated,old building,Chugureti,commercial
280.0,7.142857142857143,newly renovated,new building,Chugureti,office
125.0,5.6,newly renovated,new building,Chugureti,commercial
250.0,10.0,renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
120.0,13.0,newly renovated,new building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
186.0,19.892473118279568,newly renovated,old building,Chugureti,commercial
230.0,13.0,newly renovated,old building,Chugureti,office
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,office
195.0,5.128205128205129,newly renovated,old building,Chugureti,office
102.0,5.392156862745098,newly renovated,old building,Chugureti,commercial
245.0,13.061224489795919,newly renovated,old building,Chugureti,office
100.0,9.28,newly renovated,new building,Chugureti,commercial
100.0,10.0,newly renovated,old building,Chugureti,commercial
290.0,10.344827586206897,renovated,new building,Chugureti,commercial
120.0,17.75,newly renovated,new building,Chugureti,commercial
180.0,16.666666666666668,newly renovated,new building,Chugureti,commercial
105.0,12.380952380952381,newly renovated,new building,Chugureti,commercial
230.0,15.217391304347826,newly renovated,old building,Chugureti,office
170.0,29.41176470588235,old renovated,old building,Chugureti,commercial
170.0,23.529411764705884,old renovated,old building,Chugureti,commercial
214.0,8.411214953271028,old renovated,old building,Chugureti,office
155.0,11.612903225806452,old renovated,old building,Chugureti,office
110.0,10.0,newly renovated,old building,Chugureti,office
110.0,10.0,newly renovated,old building,Chugureti,office
900.0,6.666666666666667,newly renovated,new building,Chugureti,commercial
700.0,5.714285714285714,renovated,old building,Chugureti,commercial
700.0,5.714285714285714,renovated,old building,Chugureti,office
230.0,15.217391304347826,newly renovated,old building,Chugureti,commercial
210.0,10.0,newly renovated,old building,Chugureti,commercial
180.0,22.22222222222222,newly renovated,old building,Chugureti,commercial
244.1,8.193363375665712,renovated,new building,Chugureti,office
120.0,13.0,renovated,old building,Chugureti,commercial
330.0,8.484848484848484,newly renovated,old building,Chugureti,commercial
450.0,13.333333333333334,old renovated,old building,Chugureti,commercial
600.0,5.833333333333333,newly renovated,old building,Chugureti,commercial
100.0,25.0,newly renovated,new building,Chugureti,commercial
195.0,5.128205128205129,renovated,old building,Chugureti,office
120.0,10.666666666666666,newly renovated,new building,Chugureti,commercial
245.0,12.979591836734693,newly renovated,new building,Chugureti,office
450.0,5.777777777777778,newly renovated,old building,Chugureti,commercial
700.0,5.685714285714286,newly renovated,old building,Chugureti,commercial
700.0,5.714285714285714,newly renovated,old building,Chugureti,commercial
600.0,5.833333333333333,newly renovated,old building,Chugureti,commercial
450.0,7.977777777777778,newly renovated,old building,Chugureti,commercial
186.0,19.838709677419356,newly renovated,old building,Chugureti,commercial
170.0,22.941176470588236,old renovated,old building,Chugureti,commercial
454.0,20.0,renovated,old building,Chugureti,office
105.0,5.714285714285714,newly renovated,old building,Chugureti,commercial
245.0,13.061224489795919,renovated,old building,Chugureti,office
250.0,12.0,newly renovated,new building,Chugureti,office
1350.0,11.11111111111111,renovated,old building,Chugureti,office
300.0,18.0,newly renovated,old building,Chugureti,office
120.0,12.333333333333334,newly renovated,new building,Chugureti,commercial
195.0,5.128205128205129,newly renovated,old building,Chugureti,commercial
120.0,10.833333333333334,newly renovated,old building,Chugureti,office
100.0,20.0,newly renovated,new building,Chugureti,commercial
170.0,29.294117647058822,old renovated,old building,Chugureti,commercial
160.0,7.5,newly renovated,old building,Chugureti,commercial
450.0,6.177777777777778,newly renovated,old building,Chugureti,commercial
100.0,25.0,newly renovated,new building,Chugureti,commercial
450.0,8.755555555555556,renovated,new building,Chugureti,commercial
352.0,15.994318181818182,renovated,new building,Chugureti,office
230.0,15.173913043478262,renovated,new building,Chugureti,commercial
100.0,12.2,newly renovated,new building,Chugureti,office
230.0,13.0,newly renovated,new building,Chugureti,commercial
100.0,11.0,newly renovated,old building,Chugureti,commercial
340.0,10.294117647058824,newly renovated,new building,Chugureti,office
756.0,10.582010582010582,newly renovated,new building,Chugureti,office
